tid,clean,origin,LP,approx,speed(L),speed(G),Acc(L),Acc(G),IMR,Median,EWMA
70.0,51.84784,51.84784,51.845787646938405,51.845787646938405,51.84784,51.845434850540215,51.84473666227716,51.84339274054799,51.84784,51.84851604322954,51.94841526402616
71.0,51.8334,51.8334,51.8334,51.8334,51.8334,51.8334,51.84229451890402,51.8334,51.8334,51.84841802161477,51.93691373762355
72.0,51.84832,51.84832,51.843927646938404,51.84531485054021,51.84832,51.84531485054021,51.838846662277156,51.84240274054799,51.84832,51.84836901080739,51.92805436386119
73.0,51.83154,51.83154,51.83154,51.836221195678306,51.835932353061594,51.8329272036018,51.84337451890403,51.83154,51.83154,51.839954505403696,51.91840292747507
74.0,51.83154,51.83154,51.83154,51.848136046218514,51.83154,51.83154,51.83154,51.83154,51.83154,51.83574725270185,51.90971663472756
75.0,51.83154,51.83154,51.83154,51.86005089675873,51.83154,51.83154,51.83154,51.83154,51.83154,51.83364362635092,51.90189897125481
76.0,51.83154,51.83154,51.83154,51.87196574729894,51.83154,51.83154,51.83154,51.83154,51.83154,51.832591813175455,51.89486307412933
77.0,51.83154,51.83154,51.83154,51.88388059783915,51.83154,51.83154,51.83154,51.83154,51.83154,51.83311771976319,51.8885307667164
78.0,51.83154,51.83154,51.83154,51.89579544837936,51.83154,51.83154,51.83154,51.84345485054021,51.83154,51.83338067305705,51.88283169004475
79.0,51.83154,51.83154,51.84345485054021,51.907710298919575,51.83154,51.83154,51.83154,51.85536970108042,51.83154,51.833512149703985,51.87770252104028
80.0,51.83154,51.83154,52.18388059783914,51.91962514945978,51.84345485054021,52.18388059783915,51.84345485054021,52.27196574729894,51.83154,51.83357788802745,51.87308626893625
81.0,51.83154,51.93154,52.19579544837936,51.93154,51.84345485054021,52.19579544837936,51.84345485054021,52.28388059783915,51.93154,51.882558944013724,51.87893164204262
82.0,51.83154,52.03154,52.20771029891957,51.94345485054021,51.94345485054021,52.20771029891957,51.94345485054021,52.295795448379366,52.03154,51.95704947200686,51.89419247783836
83.0,51.83154,52.131539999999994,52.21962514945978,51.95536970108042,52.043454850540215,52.21962514945978,52.043454850540215,52.307710298919574,52.131539999999994,52.04429473600342,51.917927230054524
84.0,51.83154,52.231539999999995,52.231539999999995,51.96728455162064,52.14345485054021,52.231539999999995,52.14345485054021,52.31962514945978,52.231539999999995,52.13791736800171,51.949288507049076
85.0,51.83154,52.33154,52.24345485054021,51.979199402160845,52.24345485054021,52.24345485054021,52.24345485054021,52.33154,52.33154,52.234728684000856,51.98751365634417
86.0,51.83154,52.43154,52.25536970108042,51.99111425270106,52.34345485054021,52.25536970108042,52.34345485054021,52.34345485054021,52.43154,52.33313434200043,52.03191629070975
87.0,51.83154,52.53154,52.267284551620634,52.00302910324127,52.44345485054021,52.267284551620634,52.44345485054021,52.35536970108042,52.53154,52.43233717100021,52.08187866163878
88.0,51.83154,52.631539999999994,52.27919940216084,52.00496705713775,52.543454850540215,52.27919940216084,52.611674518904024,52.367284551620635,52.631539999999994,52.5319385855001,52.13684479547491
89.0,51.83154,52.731539999999995,52.29111425270106,51.99257941019933,52.64345485054021,52.29111425270106,52.71167451890401,52.37919940216084,52.731539999999995,52.63173929275005,52.19631431592742
90.0,51.83154,52.83154,52.27872660576264,51.980191763260926,52.74345485054021,52.303029103241265,52.81167451890402,52.38667723631841,51.83154,52.73163964637502,52.259836884334675
91.0,51.83154,52.93154,52.266338958824235,51.96780411632251,52.84345485054021,52.31494395378148,52.91167451890402,52.37428958938,52.924361277412395,52.681689469562535,52.32700719590121
92.0,51.83154,53.03154,52.25395131188582,51.955416469384105,52.94345485054021,52.30255630684307,53.01167451890402,52.36190194244159,53.18982502871899,52.65671438115629,52.39746047631109
93.0,51.83154,53.131539999999994,52.241563664947414,51.94302882244569,53.043454850540215,52.29016865990466,53.111674518904024,52.34951429550318,53.30639742225466,52.644226836953166,52.47086842867998
94.0,51.83154,53.231539999999995,52.229176018009,51.93064117550728,53.11915235306159,52.27778101296625,53.21167451890401,52.33712664856477,53.21152866797037,52.63798306485161,52.54693558581198
95.0,51.83154,51.83154,52.21678837107059,51.91825352856887,53.21915235306159,52.26539336602784,53.31167451890402,52.324739001626355,51.794500731613084,52.23476153242581,52.475396027230786
96.0,51.83154,51.83154,51.91825352856887,51.90586588163046,51.83154,51.88109058775364,50.45142666227716,51.93064117550728,51.83154,52.0331507662129,52.41101042450771
97.0,51.83154,51.83154,51.90586588163046,51.89347823469205,51.83154,51.868702940815226,51.83154,51.91825352856887,51.817823715268204,51.93234538310645,52.35306338205693
98.0,51.83154,51.83154,51.89347823469205,51.88109058775364,51.83154,51.85631529387682,51.83154,51.90586588163046,51.83154,51.88194269155322,52.300911043851244
99.0,51.83154,51.83154,51.88109058775364,51.868702940815226,51.83154,51.843927646938404,51.83154,51.89347823469205,51.83154,51.85674134577661,52.25397393946612
